name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,Column 45,Column 46,Column 47
Subaru WRX STI,takeshido_wrx_sti,Supercar,Takeshido,ammofeed,4.61,520,100,420,,84,16,,154,20,60,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,17656,5,12,2300,0.25,4.61,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.78,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_builtin:thrusters_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Nissan R35 GT-R,takeshido_r35gtr,Supercar,Takeshido,ammofeed,5.71,600,100,600,,120,16,,198,19,57,82,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,30211,5,12,2400,0.25,5.71,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.67,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Toyota AE86,takeshido_ae86,Sportscar,Takeshido,ammofeed,2.35,480,100,320,,64,16,,131,10,30,83,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,3760,5,12,2000,0.25,2.35,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=2.28,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Honda NSX-R,takeshido_nsxr,Supercar,Takeshido,ammofeed,4.36,550,100,450,,90,16,,180,15,45,86,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,15399,5,12,2200,0.25,4.36,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=4.80,tuner_builtin:engine_balance,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Jaguar E-Type,takeshido_etype,Sportscar,Takeshido,ammofeed,3.06,480,100,320,,64,16,,169,12,36,84,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,6692,5,12,2000,0.25,3.06,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.95,tuner_builtin:engine_port_polish,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Jaguar XJ13,takeshido_xj13,Supercar,Takeshido,ammofeed,4.65,550,100,450,,90,16,,180,15,45,95,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,18036,5,12,2200,0.25,4.65,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.46,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_builtin:engine_balance,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Bugatti Veyron,takeshido_veyron,Hypercar,Takeshido,ammofeed,6.39,600,100,600,,120,16,,261,26,78,76,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,40358,5,12,2400,0.25,6.39,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=7.26,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Ford GT40,takeshido_gt40,Hypercar,Takeshido,ammofeed,6.84,650,100,600,,120,16,,225,21,63,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,48189,5,12,2800,0.25,6.84,8,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=7.44,tuner_builtin:engine_displacement,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ford Crown Victoria Taxi,takeshido_crown_vic_taxi,Roadcar,Takeshido,ammofeed,2.19,750,100,300,,60,16,,124,10,30,48,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,3246,5,12,2100,0.25,2.19,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=0.21,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ford Crown Victoria Police,takeshido_crown_vic_police,Roadcar,Takeshido,ammofeed,2.31,730,100,300,,60,16,,134,10,30,51,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,3626,5,12,2100,0.25,2.31,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=0.61,tuner_builtin:engine_balance,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Pontiac Firebird,takeshido_firebird,Sportscar,Takeshido,ammofeed,2.68,480,100,320,,64,16,,145,14,42,72,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,4984,5,12,2000,0.25,2.68,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.05,tuner_builtin:engine_displacement,tuner_builtin:engine_racing_exhaust,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
McLaren F1,takeshido_f1,Hypercar,Takeshido,ammofeed,6.64,600,100,600,,120,16,,255,22,66,94,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,44594,5,12,2400,0.25,6.64,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=7.86,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Chevrolet Corvette C6.R,takeshido_c6r,Hypercar,Takeshido,ammofeed,6.65,680,100,600,,120,16,,206,22,66,95,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,44770,5,12,2800,0.25,6.65,8,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.80,tuner_builtin:engine_racing_exhaust,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Toyota Supra MK4 (Paul),takeshido_supra_mk4_paul,Hypercar,Takeshido,ammofeed,6.00,600,100,600,,120,16,,209,23,69,85,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,34300,5,12,2400,0.25,6.00,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.36,tuner_builtin:turbo_stage4,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:supercharger",,0.4,1,4,,,,
Suzuki Escudo,takeshido_escudo,Prototype,Takeshido,ammofeed,8.16,680,100,750,,150,16,,226,42,126,95,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,76820,5,12,3200,0.25,8.16,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.13,tuner_builtin:turbo_stage4,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:supercharger",,0.4,1,4,,,,
Porsche 917/30,takeshido_917_30,Prototype,Takeshido,ammofeed,8.68,720,100,750,,150,16,,267,34,102,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,90704,5,12,3200,0.25,8.68,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=9.07,tuner_builtin:turbo_stage4,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Porsche 919 Evo,takeshido_919,Prototype,Takeshido,ammofeed,8.41,750,100,750,,150,16,,232,39,117,96,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,83324,5,12,3200,0.25,8.41,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.24,tuner_builtin:turbo_stage4,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:supercharger",,0.4,1,4,,,,
Lexus LFA,takeshido_lfa,Supercar,Takeshido,ammofeed,5.67,600,100,600,,120,16,,206,17,51,81,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,29674,5,12,2400,0.25,5.67,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.58,tuner_builtin:engine_balance,tuner_builtin:engine_racing_exhaust,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Aston Martin One-77,takeshido_one_77,Hypercar,Takeshido,ammofeed,5.88,600,100,600,,120,16,,225,18,54,81,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,32566,5,12,2400,0.25,5.88,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.09,tuner_builtin:engine_tune_stage3,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Pagani Zonda Cinque,takeshido_zonda_cinque,Hypercar,Takeshido,ammofeed,5.98,600,100,600,,120,16,,222,19,57,86,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,34007,5,12,2400,0.25,5.98,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.31,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_builtin:engine_balance,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Bentley Continental,takeshido_continental,Supercar,Takeshido,ammofeed,4.10,550,100,450,,90,16,,199,17,51,61,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,13265,5,12,2200,0.25,4.10,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=4.20,tuner_builtin:turbo_stage4,tuner_builtin:drivetrain_stage2,tuner_builtin:transmission_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Honda S2000,takeshido_s2000,Sportscar,Takeshido,ammofeed,2.88,480,100,320,,64,16,,155,12,36,83,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,5841,5,12,2000,0.25,2.88,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.52,tuner_builtin:engine_balance,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Porsche 959,takeshido_959,Hypercar,Takeshido,ammofeed,6.06,600,100,600,,120,16,,214,21,63,88,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,35190,5,12,2400,0.25,6.06,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.50,tuner_builtin:turbo_stage4,tuner_builtin:drivetrain_stage2,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Chevrolet Corvette Stingray,takeshido_stingray,Sportscar,Takeshido,ammofeed,2.71,480,100,320,,64,16,,157,12,36,76,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,5106,5,12,2000,0.25,2.71,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.11,tuner_builtin:engine_displacement,tuner_builtin:engine_racing_exhaust,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
DeLorean DMC-12,takeshido_delorean,Roadcar,Takeshido,ammofeed,1.69,480,100,320,,64,16,,121,10,30,59,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,1947,5,12,2000,0.25,1.69,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=0.74,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ford Mustang 1960,takeshido_mustang_1960,Sportscar,Takeshido,ammofeed,2.40,480,100,320,,64,16,,144,11,33,73,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,3930,5,12,2000,0.25,2.40,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=2.40,tuner_builtin:engine_displacement,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ford Mustang 2005,takeshido_mustang_2005,Sportscar,Takeshido,ammofeed,2.30,480,100,320,,64,16,,154,12,36,58,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,3594,5,12,2000,0.25,2.30,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=2.16,tuner_builtin:engine_displacement,tuner_builtin:engine_racing_exhaust,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Mazda RX-7,takeshido_rx7,Supercar,Takeshido,ammofeed,5.65,600,100,600,,120,16,,181,18,54,89,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,29408,5,12,2400,0.25,5.65,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.53,tuner_builtin:turbo_stage4,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Nissan R34 Skyline,takeshido_r34_skyline,Supercar,Takeshido,ammofeed,5.62,600,100,600,,120,16,,189,18,54,85,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,29012,5,12,2400,0.25,5.62,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.48,tuner_builtin:turbo_stage4,tuner_builtin:drivetrain_stage2,tuner_builtin:transmission_stage3,tuner_builtin:engine_tune_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Peugeot 208 T16 Pikes Peak,takeshido_208t16_pikes_peak,Supercar,Takeshido,ammofeed,7.13,650,100,750,,150,16,,157,25,75,95,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,53737,5,12,3200,0.25,7.13,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.91,tuner_builtin:turbo_stage4,tuner_builtin:drivetrain_stage2,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Ferrari 288 GTO,takeshido_288gto,Supercar,Takeshido,ammofeed,4.72,550,100,450,,90,16,,206,16,48,87,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,18715,5,12,2200,0.25,4.72,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.64,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Mercedes 300SL,takeshido_300sl,Sportscar,Takeshido,ammofeed,2.98,520,100,320,,64,16,,182,11,33,77,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,6304,5,12,2000,0.25,2.98,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.49,tuner_builtin:engine_port_polish,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Nissan 370Z,takeshido_370z,Sportscar,Takeshido,ammofeed,2.79,480,100,320,,64,16,,158,13,39,75,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,5444,5,12,2000,0.25,2.79,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.31,tuner_builtin:engine_balance,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Mazda 787B,takeshido_787b,Hypercar,Takeshido,ammofeed,8.09,700,100,750,,150,16,,228,26,78,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,75109,5,12,3200,0.25,8.09,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=7.84,tuner_builtin:engine_racing_exhaust,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Mercedes-AMG One,takeshido_amg_one,Hypercar,Takeshido,ammofeed,6.06,600,100,600,,120,16,,220,21,63,86,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,35190,5,12,2400,0.25,6.06,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.49,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:supercharger",,0.4,1,4,,,,
Apollo Arrow,takeshido_apollo_arrow,Hypercar,Takeshido,ammofeed,6.15,600,100,600,,120,16,,225,21,63,87,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,36553,5,12,2400,0.25,6.15,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.69,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Apollo Intensa Emozione,takeshido_apollo_ie,Hypercar,Takeshido,ammofeed,6.07,600,100,600,,120,16,,210,23,69,87,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,35339,5,12,2400,0.25,6.07,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.53,tuner_builtin:aether_stage3,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Dodge Challenger Hellcat,takeshido_challenger_hellcat,Supercar,Takeshido,ammofeed,4.10,550,100,450,,90,16,,201,17,51,59,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,13265,5,12,2200,0.25,4.10,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=4.19,tuner_builtin:supercharger_stage3,tuner_builtin:engine_displacement,tuner_builtin:transmission_stage3,tuner_block_type:turbo",,0.4,1,4,,,,
Honda Civic Type R,takeshido_civic_type_r,Sportscar,Takeshido,ammofeed,2.90,480,100,320,,64,16,,171,11,33,81,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,5932,5,12,2000,0.25,2.90,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=3.57,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_builtin:thrusters_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Lamborghini Countach,takeshido_countach,Supercar,Takeshido,ammofeed,4.38,550,100,450,,90,16,,199,14,42,82,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,15572,5,12,2200,0.25,4.38,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=4.84,tuner_builtin:engine_balance,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ferrari Enzo,takeshido_enzo,Hypercar,Takeshido,ammofeed,6.23,600,100,600,,120,16,,226,20,60,91,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,37793,5,12,2400,0.25,6.23,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.90,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ferrari F40,takeshido_f40,Hypercar,Takeshido,ammofeed,5.28,550,100,450,,90,16,,217,19,57,97,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,24767,5,12,2200,0.25,5.28,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.93,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
General Lee 1969 Charger,takeshido_general_lee_69,Supercar,Takeshido,ammofeed,3.90,480,100,320,,64,16,,190,22,66,85,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,11765,5,12,2000,0.25,3.90,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.90,tuner_builtin:engine_displacement,tuner_builtin:engine_racing_exhaust,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Koenigsegg Jesko Absolut,takeshido_jesko_absolut,Prototype,Takeshido,ammofeed,8.36,620,100,750,,150,16,,332,24,72,81,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,82003,5,12,3200,0.25,8.36,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.99,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Lada,takeshido_lada,Roadcar,Takeshido,ammofeed,0.42,420,100,220,,44,16,,98,10,30,49,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,286,5,12,1700,0.25,0.42,2,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=-0.31,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ferrari LaFerrari,takeshido_laferrari,Hypercar,Takeshido,ammofeed,6.22,600,100,600,,120,16,,221,24,72,87,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,37637,5,12,2400,0.25,6.22,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.87,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Mitsubishi Lancer Evolution,takeshido_lancer_evolution,Supercar,Takeshido,ammofeed,4.68,520,100,420,,84,16,,164,20,60,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,18325,5,12,2300,0.25,4.68,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.94,tuner_builtin:turbo_stage4,tuner_builtin:drivetrain_stage2,tuner_builtin:transmission_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Toyota Minolta 88C-V,takeshido_minolta_88cv,Prototype,Takeshido,ammofeed,8.28,700,100,750,,150,16,,247,26,78,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,79918,5,12,3200,0.25,8.28,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.27,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
McLaren P1,takeshido_p1,Hypercar,Takeshido,ammofeed,6.16,600,100,600,,120,16,,220,22,66,87,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,36706,5,12,2400,0.25,6.16,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.72,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
